	ra	dec	mag	x	y	z
70415	3.7826872562317386	-1.4602800539766834	4.31	-0.08839429845682335	-0.0659594477017969	-0.9938992903001793
70470	3.7852939927360545	1.3211443084165801	4.25	-0.1976235870774897	-0.148279852223525	0.9689984536908175
70530	3.7881229969206123	-0.5147261849062755	4.97	-0.6947569653937913	-0.524363325703313	-0.49229651806017444
70532	3.7882470898304286	-0.0388851852428553	4.81	-0.7975006670017057	-0.602064274348731	-0.038875386618921266
70572	3.790398557199362	-0.12043707335239942	5.42	-0.7910339615562433	-0.5998584654386923	-0.12014613229801874
70707	3.7976155809228214	-0.8642699064543374	5.38	-0.5144388888297232	-0.395989360898062	-0.7606214930668106
70828	3.8040760044155406	0.5300815742120291	3.57	-0.6802629540520239	-0.5306667349765337	0.5056037279666352
70851	3.805158806683478	0.6686051455369953	3.04	-0.618177705045132	-0.4833116700213602	0.619892050768759
70895	3.807513168577956	-0.8806435208457045	4.44	-0.5006329144625075	-0.39331450787811434	-0.7711487423638661
71058	3.816511475336	0.5191504549337409	4.47	-0.6778851612735862	-0.5425072850930034	0.4961426747883142
71125	3.820120641696199	-0.735792834276286	2.33	-0.5770994796948061	-0.46527430083848625	-0.6711751004881228
71274	3.828100287036317	-0.8051804058179604	5.39	-0.5359963741610416	-0.4392388949320548	-0.7209556713592618
71310	3.8305056998114164	-0.8626434341244039	4.05	-0.5020929764721515	-0.41347826549963784	-0.7595645903652609
71392	3.834651293117216	0.775004727701822	5.39	-0.549598803071928	-0.4564360263472808	0.6997194505758778
71453	3.8380696077237086	-1.0618286463160662	1.35	-0.3738442250348749	-0.31253504348988	-0.8732481560237345
71456	3.8381793016671972	-1.06175317827921	-0.01	-0.37386079684996537	-0.31261881330044666	-0.873211075370285
71536	3.8428924760457446	0.28655381145920544	4.49	-0.7328507675980354	-0.6189020249746024	0.2826482547501521
71569	3.844738685328505	0.23960403570153757	3.78	-0.741019695569569	-0.6281480544364914	0.23731799865504097
71606	3.846905598861318	0.14244965457074246	4.86	-0.7536964970339194	-0.6417059848802191	0.14196837439270404
71634	3.8481428627680576	-0.8270801165935768	2.3	-0.5149514801855334	-0.4395352985945162	-0.7359576715709659
71639	3.848276118656447	-0.6596209759458919	4.01	-0.6009813718397325	-0.5131045133744662	-0.6128173863855246
71682	3.8506742010486876	-1.1340300900376834	3.18	-0.32105198029690285	-0.2754348975730108	-0.9061242978457106
71731	3.8530777812280714	-0.0987543419093908	3.87	-0.7537027223598531	-0.6497779965371743	-0.09859392234555941
71769	3.8546587877309895	0.46299832597517776	4.8	-0.6767281675675666	-0.5852846810842611	0.44663276784035716
71783	3.85568294693606	-0.6138960897105661	4.06	-0.6177081744602324	-0.5353461440995784	-0.5760565225763187
71878	3.8614828505733625	-0.614213233488946	4.92	-0.6144551522102182	-0.5387996371216066	-0.5763157268025426
71879	3.8614844213696893	0.4725343163158842	2.35	-0.66948485006968	-0.5870550701446	0.4551443508873827
71899	3.862592618178243	0.29608254123022365	4.6	-0.7184613123607811	-0.6314114597234932	0.2917754464835445
71905	3.8627981306976658	-1.0973870769249876	5.36	-0.34240196629427483	-0.30104299946369917	-0.8900191042622139
71971	3.8659106636192098	-0.44406728063086337	5.15	-0.6763123628904258	-0.5983576293663622	-0.4296157995007124
71994	3.86698953889633	0.033037075611612864	3.73	-0.7478278413099928	-0.6630704847707392	0.03303107608802944
72064	3.8703620386099584	-0.914264862877715	5.22	-0.4553350832147753	-0.40647906355244373	-0.7921140908274024
72131	3.873525884211512	-0.4553127686140207	5.23	-0.6680995120649029	-0.6002240580530768	-0.43974324567062456
72144	3.874029062634862	-1.3795911613690803	3.83	-0.14130555509533785	-0.12707789789900426	-0.9817759153517511
72263	3.880379792184093	-0.24694701983711315	5.32	-0.7168583399770068	-0.6529631623637506	-0.24444473608842668
72345	3.884617800673785	-0.48800053402913945	4.42	-0.6504648142983341	-0.5975492648987788	-0.46886074838779435
